class,hotelname,PARK,location,SEASON,daterange,singlerate,doubleRate,tripleRate,,
2,"Tanzania Bush Camps,ndutu",Ndutu,Ndutu,Peak,"Dec, Jan, Feb ,March",297.88,515.76,743.64,,
2,"Pure Migration Camp - Ndutu, Sense of wilderness",Ndutu,Ndutu,Low,1 Dec-15 Apr,282.88,515.76,746.64,,
3,"Nyikani Migration Camp, Ndutu",Ndutu,Ndutu,Peak,"11 Jan - 31 Mar, 16 Dec - 10 Jan",272.88,545.76,818.64,,
3,"Nyikani Migration Camp, Ndutu",Ndutu,Ndutu,Low,1 Dec - 15 Dec,237.88,475.76,713.64,,
3,"Angata Migration Camp, Ndutu",Ndutu,Ndutu,Peak,Dec - Mar,355.88,563.76,676.64,,
3,"Acacia Migration Camp, Ndutu",Ndutu,Ndutu,Peak,"Dec, Jan, Feb and March",330.88,565.76,749.64,,
4,Ndutu Safari Lodge,Ndutu,Ndutu,Peak,15 Dec-31 Mar ,484.88,729.76,926.64,,
4,Ndutu Safari Lodge,Ndutu,Ndutu,Low,1 Apr - 15 Dec,291.88,581.76,755.64,,
4,Lake Ndutu luxury tented lodge,Ndutu,Ndutu,Peak,"Dec, Jan - Mar",523.88,803.76,1156.64,,
4,Lake Ndutu luxury tented lodge,Ndutu,Ndutu,Low,Apr - Nov,324.88,559.76,839.64,,
5,Lake Masek Tented Lodge - Premium (Tent),Ndutu,Ndutu,Peak,"01 Jan - 31 Mar, 1 Dec - 31 Dec",706.88,1009.76,1329.64,,
5,Lake Masek Tented Lodge - Premium (Tent),Ndutu,Ndutu,Low,1 Apr - 31 Nov,401.88,601.76,810.64,,
6,Lemala Ndutu Camp,Ndutu,Ndutu,Peak,20 Dec - 31 Mar ,902.88,1311.76,1448.64,,
6,Lemala Ndutu Camp,Ndutu,Ndutu,Low,1 Dec - 19 Dec,308.88,617.76,719.64,,
1,Lake Eyasi Safari Lodge,Lake Eyasi,Lake Eyasi,Peak,"Jun - Oct, Dec",149,245,345,,
1,Lake Eyasi Safari Lodge,Lake Eyasi,Lake Eyasi,High ,Jan - Feb,149,245,345,,
1,Lake Eyasi Safari Lodge,Lake Eyasi,Lake Eyasi,Shoulder              ,Nov,104,170,243,,
1,Lake Eyasi Safari Lodge,Lake Eyasi,Lake Eyasi,Low,"Apr, May",104,170,243,,
2,Lake Eyasi Safari Lodge,Lake Eyasi,Lake Eyasi,Peak,"Jun - Oct, Dec",149,245,345,,
2,Lake Eyasi Safari Lodge,Lake Eyasi,Lake Eyasi,High ,Jan - Feb,149,245,345,,
2,Lake Eyasi Safari Lodge,Lake Eyasi,Lake Eyasi,Shoulder              ,Nov,104,170,243,,
2,Lake Eyasi Safari Lodge,Lake Eyasi,Lake Eyasi,Low,"Apr, May",104,170,243,,
3,Kisima Ngeda Camp,Lake Eyasi,Lake Eyasi,Peak,1 Jun-31 Dec ,386,534,801,,
